radius_km,window_days,treatment_col,mediator_col,n_cells,n_event_cells,total_effect,total_pval,direct_effect,direct_pval,indirect_diff,indirect_product,path_a,path_a_pval,path_b,path_b_pval,causal_r2,misspecified_flag
9,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,20072,7.861941964466319e-09,0.08508330090431865,8.850589934452873e-09,0.05372725955447639,-9.88647969986554e-10,-9.886479699943044e-10,0.00013091612649592467,6.826323393567097e-07,-7.5517661303940304e-06,0.14987295570452513,0.025012997786287294,False
9,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,20072,5.0948525803592255e-09,0.053712228522529465,5.450946943190886e-09,0.040666279167370076,-3.5609436283166024e-10,-3.5609436283374727e-10,6.0189580893068154e-05,9.53287443871978e-05,-5.916212699111144e-06,0.2454979643106049,0.02508946639199705,False
9,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,20072,3.448289813817265e-09,0.025844362807248576,3.56614073395166e-09,0.021311609148673947,-1.1785092013439527e-10,-1.1785092015352888e-10,2.92798204267594e-05,0.0020925311743113166,-4.024987805110397e-06,0.46274082021303475,0.02534765546055362,False
10,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,23780,1.3761969092440168e-08,0.23422032356975597,1.4140571282194004e-08,0.2172560855583826,-3.786021897538364e-10,-3.7860218972954513e-10,0.0004716830159251893,6.454283692617266e-11,-8.026623324287615e-07,0.9222890652127008,0.027344087966734598,False
10,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,23780,7.4494487057898426e-09,0.10849723005712533,8.404794492715944e-09,0.07255959044411389,-9.553457869261014e-10,-9.553457869177971e-10,0.00013084413552704485,6.820484772127001e-07,-7.301403177678772e-06,0.1995241090149511,0.026957464181820323,False
10,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,23780,4.883161785850983e-09,0.0671100380059168,5.235123244996704e-09,0.0527545821566289,-3.5196145914572135e-10,-3.5196145916007453e-10,6.01314668428573e-05,9.741472067392699e-05,-5.853199292142034e-06,0.2963637142760901,0.027041294386276227,False
10,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,23780,3.342071648311339e-09,0.030823602064006632,3.4629141541198947e-09,0.02614667125085159,-1.2084250580855588e-10,-1.2084250581914412e-10,2.924260010742401e-05,0.002138607788068445,-4.132413170348182e-06,0.4931678192965222,0.027251789904943813,False
11,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,27363,1.2844980088792231e-08,0.2821921811630991,1.2452818380195795e-08,0.2984465502498227,3.921617085964362e-10,3.921617085984287e-10,0.0004714480228892499,5.8110929114012424e-11,8.318238481414807e-07,0.926187071092728,0.02912656850283024,False
11,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,27363,7.289909712258773e-09,0.12752689354310995,8.264243679920391e-09,0.08746144484573529,-9.743339676616179e-10,-9.743339676529712e-10,0.00013088850816499604,6.217565805272593e-07,-7.443999334339885e-06,0.22495287665438368,0.028715819257334352,False
11,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,27363,4.81412520733571e-09,0.07811588739567259,5.168446908847344e-09,0.06242093531903321,-3.543217015116339e-10,-3.5432170150580755e-10,6.020471842757053e-05,9.06871600119389e-05,-5.885281266319273e-06,0.3273228613269388,0.028848847645802422,False
