API Number,Nearest Fault Dist (km),Fault Segments <= 1 km,Fault Segments <= 2 km,Fault Segments <= 3 km,Fault Segments <= 4 km,Fault Segments <= 5 km,Fault Segments <= 6 km,Fault Segments <= 7 km,Fault Segments <= 8 km,Fault Segments <= 9 km,Fault Segments <= 10 km,Fault Segments <= 11 km,Fault Segments <= 12 km,Fault Segments <= 13 km,Fault Segments <= 14 km,Fault Segments <= 15 km,Fault Segments <= 16 km,Fault Segments <= 17 km,Fault Segments <= 18 km,Fault Segments <= 19 km,Fault Segments <= 20 km
31732496,0.5327656315300754,3,7,11,22,30,42,55,80,99,132,163,191,214,252,289,343,396,457,510,569
31732534,0.8402346438359105,3,7,11,21,33,39,62,80,97,110,126,163,191,216,246,277,313,362,396,426
31732701,1.8277211146383683,0,4,9,13,35,58,99,121,156,186,235,281,334,377,432,479,524,579,629,676
31732702,1.250651856708776,0,6,18,34,49,71,109,144,174,210,239,291,338,385,430,491,546,606,668,730
31732854,3.8235028045364765,0,0,0,5,12,14,16,18,25,32,39,73,105,132,161,186,223,258,295,330
31732856,1.0938034486928951,0,7,11,24,39,66,90,114,148,184,214,257,318,370,432,488,546,623,701,760
31732916,0.3731381196409005,10,29,61,95,121,161,219,263,310,362,418,487,565,637,717,791,878,971,1045,1148
31732928,0.5468919872216578,4,14,22,33,45,62,78,96,110,123,146,170,188,208,242,268,294,334,396,438
31733089,0.6173378657635054,3,7,11,17,25,42,66,82,105,134,155,193,226,256,283,324,365,405,437,487
31733131,0.3464223487864951,9,32,57,85,113,153,189,231,272,314,381,444,509,606,684,761,827,889,981,1051
31733153,5.931436375909214,0,0,0,0,0,1,3,25,52,73,91,119,137,156,176,214,282,334,375,428
31733575,0.5732666959069543,4,11,24,38,62,82,105,131,158,191,223,263,309,358,417,476,543,601,666,727
31733724,0.6070337400019253,5,9,20,39,59,87,117,147,184,226,257,290,345,392,443,482,544,596,653,719
31733985,0.17919034995757377,3,16,37,51,69,88,125,157,180,208,256,302,341,389,462,516,560,609,663,704
31734301,0.974185400087864,3,7,11,15,19,22,24,41,49,71,91,106,122,158,178,201,220,238,260,283
31735147,0.18578030838747978,8,23,48,72,100,130,173,223,266,319,398,464,518,593,675,745,812,891,981,1094
31735205,1.7789764227696327,0,3,9,13,25,29,41,65,82,96,128,157,220,268,312,365,432,476,535,629
31735212,0.28567839456322563,7,14,21,32,49,66,94,127,159,200,242,275,309,339,382,417,452,485,546,598
31735255,1.026271438479495,0,8,14,28,39,58,72,101,149,203,240,280,316,387,458,512,595,677,741,810
31735566,0.3842305406808022,5,8,12,34,54,74,94,110,132,166,205,241,269,307,344,390,427,472,521,570
31735666,0.8750602079191933,3,13,19,40,57,83,100,114,129,146,167,204,238,269,302,338,369,396,447,507
31735695,0.5404269784275626,3,7,16,24,32,39,54,79,101,154,192,227,275,321,366,415,459,499,558,602
31735744,0.02498105596553323,12,23,60,90,114,151,202,238,284,338,402,470,546,609,684,751,829,933,1010,1093
31735751,6.0061926979036615,0,0,0,0,0,0,17,21,25,32,40,49,76,100,118,148,174,212,260,305
31735966,0.21330941950250937,3,8,13,17,35,52,79,106,156,206,247,309,360,445,513,574,629,702,753,790
31735969,0.8541517435010525,3,14,31,45,67,79,90,104,119,138,170,203,245,304,346,389,447,490,561,635
31736826,1.197964296114708,0,7,11,24,58,82,114,153,180,221,267,306,345,420,474,519,566,623,708,792
31736852,2.31397384517916,0,0,7,26,45,62,80,107,144,173,207,239,265,339,448,518,597,683,766,839
31736883,1.9748503827278276,0,2,9,13,27,53,71,95,110,144,184,225,255,290,331,360,401,443,492,552
